Depth  Name          #Inst  Area (um^2) 
----------------------------------------
0      multiplier    16850  21269.53728 
###############################################################
#  Generated by:      Cadence Innovus 18.15-s095_1
#  OS:                Linux x86_64(Host ID edasrv1)
#  Generated on:      Sun Sep  7 19:18:12 2025
#  Design:            multiplier
#  Command:           report_timing >> ${RPT_DIR}/innovus_${DESIGN_NAME}.log
###############################################################
Path 1: MET Path Delay Check
Endpoint:   f[127] (^)
Beginpoint: b[2]   (v) triggered by  leading edge of '@'
Path Groups: {default}
Analysis View: view_tc
- External Delay                0.000
+ Path Delay                  10000.000
= Required Time               10000.000
- Arrival Time                5688.406
= Slack Time                  4311.594
     Clock Rise Edge                      0.000
     + Input Delay                        0.000
     = Beginpoint Arrival Time            0.000
     +-----------------------------------------------------------------------------------+ 
     | Instance |     Arc     |          Cell           |  Delay  |  Arrival |  Required | 
     |          |             |                         |         |   Time   |   Time    | 
     |----------+-------------+-------------------------+---------+----------+-----------| 
     |          | b[2] v      |                         |         |    0.004 |  4311.598 | 
     | U16420   | A v -> Y ^  | INVxp33_ASAP7_75t_L     | 274.700 |  274.704 |  4586.298 | 
     | U16522   | B ^ -> Y v  | MAJIxp5_ASAP7_75t_L     |  33.200 |  307.904 |  4619.498 | 
     | U16523   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  23.200 |  331.104 |  4642.698 | 
     | U16524   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.300 |  345.404 |  4656.998 | 
     | U16525   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  20.500 |  365.904 |  4677.498 | 
     | U16526   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.600 |  380.504 |  4692.098 | 
     | U16527   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  20.100 |  400.604 |  4712.198 | 
     | U16528   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.400 |  415.004 |  4726.598 | 
     | U16529   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.100 |  434.104 |  4745.698 | 
     | U16530   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  15.600 |  449.705 |  4761.298 | 
     | U16531   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  20.700 |  470.405 |  4781.999 | 
     | U16532   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.400 |  484.805 |  4796.398 | 
     | U16533   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  20.900 |  505.705 |  4817.298 | 
     | U16534   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  13.900 |  519.604 |  4831.198 | 
     | U16535   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  20.600 |  540.205 |  4851.798 | 
     | U16536   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  13.700 |  553.905 |  4865.499 | 
     | U16537   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  21.500 |  575.405 |  4886.999 | 
     | U16538   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.500 |  589.905 |  4901.499 | 
     | U16539   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  17.600 |  607.505 |  4919.099 | 
     | U16540   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.700 |  622.205 |  4933.799 | 
     | U16541   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  18.300 |  640.505 |  4952.099 | 
     | U16542   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  15.500 |  656.005 |  4967.599 | 
     | U16543   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.600 |  675.605 |  4987.199 | 
     | U16544   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  13.800 |  689.405 |  5000.999 | 
     | U16545   | B v -> Y ^  | NAND2xp33_ASAP7_75t_L   |  19.700 |  709.105 |  5020.699 | 
     | U16546   | B ^ -> Y v  | OAI21xp33_ASAP7_75t_L   |  14.400 |  723.505 |  5035.099 | 
